Name,Type,Group,Location,Subscription,x,y,z
devcd71760476-dataDisk1,Disk,kytest,West US,Dynamics Dev/Test,7.5,100,0
devcd71760476-dataDisk2,Disk,kytest,West US,Dynamics Dev/Test,10,100,0
devcd71760476-loadbalancer,Load balancer,kytest,West US,Dynamics Dev/Test,12.5,100,0
devcd71760476-nic-0,Network Interface,kytest,West US,Dynamics Dev/Test,15,100,0
devcd71760476-osdisk,Disk,kytest,West US,Dynamics Dev/Test,17.5,100,0
devdeploybot,Language understanding,deploy-bot,West US,Cashapp Dev/Test,20,100,0
devops,Disk,devops,West Central US,Cashapp Dev/Test,0,104,0
devops,App Service plan,devops,West Central US,Cashapp Dev/Test,2.5,104,0
devops-auto-vms,Automation Account,devops,West US,Cashapp Dev/Test,5,104,0
devops-automation,Automation Account,Cashapp-ase,West Central US,Cashapp Dev/Test,7.5,104,0
devops-build,Virtual machine,devops,West Central US,Cashapp Dev/Test,10,104,0
devops-build-db,Image,devops-build,Central US,Dataapp Dev/Test,12.5,104,0
devops-build-db,Virtual machine,devops-build,Central US,Dataapp Dev/Test,15,104,0
devops-build-db,Network Interface,devops-build,Central US,Dataapp Dev/Test,17.5,104,0
devops-build-db_disk1_2ed52b7fb4db4808bad5daf46a486459,Disk,devops-build,Central US,Dataapp Dev/Test,20,104,0
devops-build-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,0,108,0
devops-build-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,2.5,108,0
devops-build-nsg,Network security group,devops-build,Central US,Dataapp Dev/Test,5,108,0
devops-build-pip,Public IP address,devops-build,Central US,Dataapp Dev/Test,7.5,108,0
devops-build-vnet,Virtual network,devops-build,Central US,Dataapp Dev/Test,10,108,0
devops-build2-image-20210511101632,Image,devops,West Central US,Cashapp Dev/Test,12.5,108,0
devops-build2-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,15,108,0
devops-build2-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,17.5,108,0
